5ht1a,5ht1b,5ht1f,5ht2a,5ht2c,5ht proj
1.0000,-0.2637,-0.2529,0.0244,0.2591,0.2003
-0.2637,1.0000,0.0144,0.2901,0.1175,0.0641
-0.2529,0.0144,1.0000,0.6510,-0.4946,-0.1268
0.0244,0.2901,0.6510,1.0000,-0.0537,0.3185
0.2591,0.1175,-0.4946,-0.0537,1.0000,0.0829
0.2003,0.0641,-0.1268,0.3185,0.0829,1.0000
